review_id,image_id,image_path_or_relative_key,image_sha256,source_dataset,source_site,source_camera_or_group,source_category_names,suggested_model1_label,suggestion_confidence,reviewer_label,reviewer_confidence,reviewer_notes,reviewer_decision,review_timestamp
seaclear-v1-review-005427,5427,Marseille/SIP-E323CV/Cam1_16_23_22_10_11_2020.mp4_00758.jpg,7104c74fce9bc8ae0f58692d7007c70e22bf12a8e5f8abbba1821e2209f4b991,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-000103,103,Bistrina/Bluerobotics HD/1091.jpg,0cee6057354d500261b1943102411fd1a3a3f7ccd4a1645b6731a2021779ea90,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,animal_etc;animal_sponge;animal_urchin;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-004612,4612,Bistrina/Bluerobotics HD/977.jpg,4c66c2f0d4a8b0d60fe7b62ad6de67dfb96069c17c3ea35468f22a8fe7d4c531,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,animal_etc;net_plastic,marine_debris,medium,,,,,
seaclear-v1-review-006904,6904,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00945.jpg,e8f6f1a7e745a6439b88d005e14219e9bf8509fcdcc5298c8e408113b9f3afb6,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-006570,6570,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00488.jpg,4e8587ee7f9a078be81c81785a7c517c85a63b0048b3b2487c78397ec47503fc,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-007741,7741,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_02362.jpg,b0859c571229e3f82b1b980dd5deb28d9d2c98bed9cd1894f228045bfa6f12f0,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-005258,5258,Marseille/SIP-E323CV/Cam1_16_23_22_10_11_2020.mp4_00589.jpg,cbbe34411634469dc6cdc4034d96a45ef6cea403fc2d3652c1516778fce9a9aa,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-005189,5189,Marseille/SIP-E323CV/Cam1_16_23_22_10_11_2020.mp4_00520.jpg,1c9f6d94f16669b07e730c1eda76239595b43f9168bf5da921df4e2a4f0d554f,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-003661,3661,Jakljan/Bluerobotics HD/4303.jpg,87e0d4c2039dda94ac1a8ffeac798346378987af4f4d0e22cfad79c1d254c400,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,animal_shells;bottle_glass;brick_clay;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-006117,6117,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00035.jpg,eaada558fc0db5afbe4d36152c4e510a190387b45de43c014fda835ee35e98e0,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic,marine_debris,medium,,,,,
seaclear-v1-review-003309,3309,Lokrum/Bluerobotics HD/3988.jpg,2884b04075b7f0187da935fd1cb2bf4061468ac5ca0a4eed5bf587b6e7aa5c62,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,rov_vehicle_leg;unknown_instance,unknown,low,,,,,
seaclear-v1-review-001461,1461,Bistrina/Paralenz Vaquita Gen 2/2317.jpg,1d40246b11ef2acb5b9e1e7206627feea633928eb75d586bfa53af051df7da3d,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;brick_clay;cable_metal;plant,marine_debris,medium,,,,,
