timestamp_s,mission_id,duty,depth_m,depth_error_m,speed_mps,vertical_speed_mps,roll_deg,pitch_deg,yaw_rate_dps,current_a,voltage_v,thruster_cmd_mean,thruster_response_ratio,imu_depth_disagreement_m,dvl_quality,temperature_c,label
49.9,sim-0002,pipeline_tracking,71.38055,0.10132,0.35785,-0.06254,0.57026,0.61769,-1.97217,24.67989,47.18928,0.36767,0.83018,0.03123,0.94002,30.53799,hydrodynamic_drag
97.1,sim-0004,target_waypoint,9.46074,0.09045,0.57308,0.04221,-1.42805,-0.66537,8.26532,26.8204,46.5024,0.61473,0.44135,0.03912,0.87915,29.62005,thruster_degradation
21.3,sim-0001,station_keeping,43.42254,0.14058,0.43546,-0.0519,-0.07604,-0.50118,2.78134,17.61005,47.68738,0.78781,1.02297,2.00346,0.39137,29.55824,sensor_drift
75.7,sim-0003,pipeline_tracking,45.9572,1.24682,0.62791,-0.33956,1.06934,14.7325,1.00871,20.14157,47.58633,0.44824,0.94028,0.02809,0.89931,23.72235,buoyancy_imbalance
26.1,sim-0001,station_keeping,64.25197,0.02489,0.28167,-0.01647,-0.8138,-1.23943,8.1224,21.91698,48.01698,0.37824,0.53292,0.04866,0.89172,33.22372,thruster_degradation
39.6,sim-0001,station_keeping,58.60541,-0.23247,0.41335,0.03807,1.19843,-2.28062,4.89179,27.39727,46.90845,0.59419,0.34613,0.01821,0.90816,28.80826,thruster_degradation
39.9,sim-0001,station_keeping,26.66673,-0.0726,0.23175,-0.07167,1.13698,-0.29091,-2.35147,28.05554,47.97574,0.58363,0.8904,0.10686,0.9184,31.47823,hydrodynamic_drag
0.3,sim-0000,station_keeping,24.33972,0.0494,0.54918,-0.02134,-0.46556,-0.09374,-1.18444,13.17317,48.53725,0.36613,0.93559,0.71902,0.3519,31.35192,sensor_drift
79.3,sim-0003,pipeline_tracking,72.16535,-0.01092,0.46331,-0.00406,0.99018,0.24022,-0.65937,17.08728,47.3223,0.21377,0.98605,1.13115,0.4603,27.50139,sensor_drift
70.8,sim-0003,station_keeping,30.2117,0.26929,0.52542,-0.01772,0.64938,-0.738,-1.56803,19.04523,47.84072,0.56223,0.97869,0.79917,0.61659,25.36726,sensor_drift
5.2,sim-0000,pipeline_tracking,20.55843,-0.93056,0.69057,-0.49919,0.33486,10.11501,0.11969,14.24457,47.38585,0.41112,1.0103,0.0782,1.0,32.29671,buoyancy_imbalance
66.4,sim-0003,pipeline_tracking,49.77118,0.02515,0.37983,-0.0648,1.98788,-0.74369,-0.81423,25.996,47.54267,0.57507,0.93138,0.08476,0.9276,37.97858,hydrodynamic_drag
3.6,sim-0000,station_keeping,11.62489,-0.01509,0.41346,0.03036,0.0869,0.183,-15.25437,26.38021,48.12656,0.45142,0.59837,0.0328,0.97149,28.43596,thruster_degradation
18.5,sim-0000,target_waypoint,54.03152,0.16643,0.57266,0.02051,1.34105,0.02498,0.68254,20.50338,46.78814,0.37878,0.98741,0.05507,0.947,28.48887,nominal
